"V1","V2","V3","V4","V5"
"821","(308)","","785","(380)"
"-4172","(412)","","-804","(422)"
"808","(389)","","359","(414)"
"1128","(239)","","608","(296)"
"926","(238)","","396","(296)"
"1037","(531)","","443","(519)"
"971","(330)","","555","(410)"
"986","(475)","","493","(460)"
"1217","(429)","","670","(435)"
"1229","(430)","","673","(436)"
"775","(387)","","374","(418)"
"1088","(503)","","397","(460)"
